Period SHA SHB XAB XBA DIAp DIBp
254 0.05598987302894345 0.051659897813258644 9 9 0.44335751033521154 0.5566424896647886
255 0.05595797060324623 0.051844494148330506 9 9 0.44337834072397014 0.5566216592760299
256 0.05611976669417182 0.05221196406199688 9 9 0.43798819646695714 0.5620118035330429
257 0.056508412110732875 0.05279599961016503 9 9 0.43278986283907156 0.5672101371609285
258 0.05665933466054035 0.05313254278500035 9 9 0.4417541206840869 0.558245879315913
259 0.057118501501498095 0.05376804921973491 10 9 0.43000180809935756 0.5699981919006425
260 0.057551575793955395 0.07086864612628033 10 10 0.4332546882388718 0.5667453117611283
261 0.07412856359894782 0.07572478041465648 10 10 0.4433576726241044 0.5566423273758956
262 0.07907765668910807 0.07694591266403128 10 10 0.4322571426103069 0.567742857389693
263 0.08073413192351711 0.07750508559969416 10 11 0.41654436212942664 0.5834556378705734
264 0.0974138499089154 0.07744897236628358 10 11 0.42833313882276164 0.5716668611772383
265 0.10181280829469343 0.0772700710626432 10 11 0.42626573426350495 0.5737342657364951
266 0.10222027665028954 0.07706456210288032 10 11 0.42608715213554776 0.5739128478644522
267 0.10137858781847002 0.07687342132003397 10 11 0.42560760283376337 0.5743923971662366
268 0.10047026465669315 0.0769899680493078 10 11 0.4166142733661428 0.5833857266338571
269 0.09944624108083568 0.07707383112064214 10 11 0.4204094060194303 0.5795905939805698
270 0.09823414293668933 0.07695853117405692 10 12 0.426049020512334 0.573950979487666
271 0.11319130766563684 0.07647227513198801 10 12 0.4355151125601073 0.5644848874398928
272 0.11629461491400095 0.07596415755851571 10 12 0.43314712385945786 0.5668528761405421
273 0.1158915882327959 0.0757800195170737 11 12 0.4236376940590354 0.5763623059409646
274 0.11395195394509654 0.09175274436991676 11 13 0.43730052173766387 0.5626994782623361
275 0.1283994668590952 0.096059455395244 12 13 0.4280915539286926 0.5719084460713074
276 0.1310146071810784 0.11307884470916775 12 14 0.42765978293259665 0.5723402170674033
277 0.14684066330900242 0.11752148093887411 13 15 0.41226669765004853 0.5877333023499516
278 0.166445714830398 0.13454002293157777 14 15 0.4071895410259706 0.5928104589740293
279 0.16997549260106573 0.15482777064361108 14 16 0.4103174071051947 0.5896825928948053
280 0.18489786926289495 0.15901121956763314 15 17 0.40878877779210365 0.5912112222078965
281 0.20286366491678326 0.17447756414051013 15 18 0.40964517603903655 0.5903548239609634
